0,EXC,Exelon Corporation,N/A,Utilities
1,CZR,"Caesars Entertainment, Inc.",N/A,Consumer Cyclical
2,CVX,Chevron Corporation,N/A,Energy
3,BZ,KANZHUN LIMITED - American Depo,N/A,Communication Services
4,OXY,Occidental Petroleum Corporatio,N/A,Energy
5,CLF,Cleveland-Cliffs Inc.,N/A,Basic Materials
6,GME,GameStop Corporation,N/A,Consumer Cyclical
7,SOFI,"SoFi Technologies, Inc.",N/A,Financial Services
8,KEY,KeyCorp,N/A,Financial Services
9,NVDA,NVIDIA Corporation,N/A,Technology
10,MSFT,Microsoft Corporation,N/A,Technology
11,TME,Tencent Music Entertainment Gro,N/A,Communication Services
12,BEKE,KE Holdings Inc,N/A,Real Estate
13,HST,"Host Hotels & Resorts, Inc.",N/A,Real Estate
14,MRK,"Merck & Company, Inc.",N/A,Healthcare
15,CCL,Carnival Corporation,N/A,Consumer Cyclical
16,MRVL,"Marvell Technology, Inc.",N/A,Technology
17,META,"Meta Platforms, Inc.",N/A,Communication Services
18,C,"Citigroup, Inc.",N/A,Financial Services
19,NEM,Newmont Corporation,N/A,Basic Materials
20,JPM,JP Morgan Chase & Co.,N/A,Financial Services
21,DXCM,"DexCom, Inc.",N/A,Healthcare
22,AQN,Algonquin Power & Utilities Cor,N/A,Utilities
23,Nasdaq Futures,N/A,N/A,N/A
24,IAG,Iamgold Corporation,N/A,Basic Materials
25,MBLY,Mobileye Global Inc.,N/A,Consumer Cyclical
26,CDE,"Coeur Mining, Inc.",N/A,Basic Materials
27,CMCSA,Comcast Corporation,N/A,Communication Services
28,NYCB,"New York Community Bancorp, Inc",N/A,Financial Services
29,OWL,Blue Owl Capital Inc.,N/A,Financial Services
30,BA,Boeing Company (The),N/A,Industrials
31,INFY,Infosys Limited,N/A,Technology
32,UAA,"Under Armour, Inc.",N/A,Consumer Cyclical
33,RNMBY,Rheinmetall AG,N/A,Industrials
34,PM,Philip Morris International Inc,N/A,Consumer Defensive
35,NCLH,Norwegian Cruise Line Holdings ,N/A,Consumer Cyclical
36,MDT,Medtronic plc.,N/A,Healthcare
37,AGNC,AGNC Investment Corp.,N/A,Real Estate
38,COIN,"Coinbase Global, Inc.",N/A,Financial Services
39,CVE,Cenovus Energy Inc,N/A,Energy
40,CLSK,"CleanSpark, Inc.",N/A,Financial Services
41,JD,"JD.com, Inc.",N/A,Consumer Cyclical
42,LCID,"Lucid Group, Inc.",N/A,Consumer Cyclical
43,ELAN,Elanco Animal Health Incorporat,N/A,Healthcare
44,NU,Nu Holdings Ltd.,N/A,Financial Services
45,NOK,Nokia Corporation Sponsored,N/A,Technology
46,SLB,Schlumberger N.V.,N/A,Energy
47,VICI,VICI Properties Inc.,N/A,Real Estate
48,AAPL,Apple Inc.,N/A,Technology
49,MRNA,"Moderna, Inc.",N/A,Healthcare
50,CVS,CVS Health Corporation,N/A,Healthcare
51,TEM,"Tempus AI, Inc.",N/A,Healthcare
52,RUN,Sunrun Inc.,N/A,Technology
53,NKE,"Nike, Inc.",N/A,Consumer Cyclical
54,TAL,TAL Education Group,N/A,Consumer Defensive
