Symbol,FullName,Sector,startDate,endDate,Duration,LatestClose,Prediction1wA,Prediction1mA,Gaps1wA,Gaps1mA,1wA%,1mA%,Validation,Accuracy1wB
Nasdaq,,,,,,,,,,,,,,
Dow Futures,,,,,,,,,,,,,,
APH,Amphenol Corporation,Technology,1991-11-08,2024-10-25,12040,69.41000366210938,41.48549,30.159296,-27.924513662109376,-39.25070766210938,0.5976874774701496,0.4345093561270597,V,HELLp
UAA,"Under Armour, Inc.",Consumer Cyclical,2005-11-18,2024-10-25,6916,8.630000114440918,8.745748,8.535474,0.11574788555908277,-0.0945261144409173,1.0134122692959642,0.989046800325907,V,HELLp
ADBE,Adobe Inc.,Technology,1986-08-13,2024-10-25,13953,483.7200012207031,332.33643,263.6958,-151.38357122070312,-220.0242012207031,0.6870429776757722,0.5451414027423803,V,HELLp
MARA,"MARA Holdings, Inc.",Financial Services,2012-05-04,2024-10-25,4557,17.059999465942383,17.686415,15.994499,0.6264155340576174,-1.0655004659423835,1.0367183794646746,0.9375439332181992,V,HELLp
JNPR,"Juniper Networks, Inc.",Technology,1999-06-25,2024-10-25,9254,39.08000183105469,38.111015,35.33047,-0.9689868310546856,-3.7495318310546892,0.9752050464264644,0.9040549729945215,V,HELLp
AFRM,"Affirm Holdings, Inc.",Technology,2021-01-13,2024-10-25,1381,40.70000076293945,37.513077,27.686157,-3.1869237629394505,-13.013843762939452,0.921697206309603,0.68024954498798,V,HELLp
HBI,Hanesbrands Inc.,Consumer Cyclical,2006-09-06,2024-10-25,6624,6.949999809265137,6.8653307,6.6324224,-0.08466910926513638,-0.31757740926513645,0.9878173940160023,0.9543054074847931,V,HELLp
TEM,"Tempus AI, Inc",Healthcare,2024-06-14,2024-10-25,133,43.5099983215332,46.801437,45.23674,3.291438678466797,1.7267416784667944,1.0756478695803087,1.0396860892916244,V,HELLp
VALE,Vale S.A.,Basic Materials,2002-03-21,2024-10-25,8254,10.880000114440918,10.393471,10.104483,-0.48652911444091806,-0.7755171144409179,0.9552822509813071,0.9287208542018689,V,HELLp
S&P 500,,,,,,,,,,,,,,
UBER,"Uber Technologies, Inc.",Technology,2019-05-10,2024-10-25,1995,77.62000274658203,72.38233,66.64827,-5.237672746582035,-10.971732746582035,0.9325216109089526,0.858648127308071,V,HELLp
SBUX,Starbucks Corporation,Consumer Cyclical,1992-06-26,2024-10-25,11809,97.30999755859376,95.8241,93.54716,-1.4858975585937628,-3.762837558593759,0.98473026825739,0.9613314391840568,V,HELLp
EXC,Exelon Corporation,Utilities,1973-05-02,2024-10-25,18804,40.06999969482422,40.92105,41.553543,0.8510503051757823,1.483543305175779,1.0212390893850123,1.0370237912771285,V,HELLp
BHVN,Biohaven Ltd.,Healthcare,2022-09-23,2024-10-25,763,52.84000015258789,51.209972,49.697723,-1.6300281525878901,-3.142277152587887,0.9691516247562301,0.9405322266556808,V,HELLp
ET,Energy Transfer LP,Energy,2006-02-03,2024-10-25,6839,16.450000762939453,16.402752,16.42907,-0.04724876293945357,-0.02093076293945373,0.9971277349089307,0.9987276132541824,V,HELLp
PATH,UiPath Inc.,Technology,2021-04-21,2024-10-25,1283,12.350000381469728,14.824396,16.540245,2.474395618530272,4.19024461853027,1.200355914340126,1.3392910517490693,V,HELLp
KHC,The Kraft Heinz Company,Consumer Defensive,2015-07-06,2024-10-25,3399,34.7400016784668,34.897053,34.291344,0.15705132153320278,-0.4486576784667946,1.0045207632108593,0.9870852718252777,V,HELLp
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,2006-01-26,2024-10-25,6847,59.43999862670898,42.69864,35.55884,-16.74135862670898,-23.88115862670898,0.7183486034068252,0.5982308348173794,V,HELLp
PSNY,Polestar Automotive Holding UK PLC,Consumer Cyclical,2021-05-18,2024-10-25,1256,1.3300000429153442,2.025245,2.58746,0.6952449570846557,1.2574599570846559,1.5227405523692217,1.9454585838420866,V,HELLp
SYM,Symbotic Inc.,Industrials,2021-03-09,2024-10-25,1326,27.420000076293945,32.270916,40.189606,4.850915923706054,12.769605923706052,1.1769115940995176,1.46570408053157,V,HELLp
UEC,Uranium Energy Corp.,Energy,2007-04-05,2024-10-25,6413,7.730000019073486,7.0466275,5.665793,-0.6833725190734867,-2.0642070190734865,0.9115947584233777,0.7329615764579388,V,HELLp
GERN,Geron Corporation,Healthcare,1996-07-31,2024-10-25,10313,4.059999942779541,4.2307973,4.833846,0.17079735722045886,0.7738460572204593,1.0420683151792185,1.1906024798341923,V,HELLp
USB,U.S. Bancorp,Financial Services,1973-05-03,2024-10-25,18803,47.7400016784668,49.69268,53.421116,1.952678321533206,5.681114321533201,1.0409023513380806,1.1190011336781263,V,HELLp
ANET,"Arista Networks, Inc.",Technology,2014-06-06,2024-10-25,3794,394.0899963378906,244.57579,188.78622,-149.5142063378906,-205.30377633789064,0.6206089783367708,0.47904342093001445,V,HELLp
KVUE,Kenvue Inc.,Consumer Defensive,2023-05-04,2024-10-25,540,22.63999938964844,22.240414,20.876804,-0.3995853896484398,-1.7631953896484411,0.9823504681792907,0.9221203428806355,V,HELLp
CVE,Cenovus Energy Inc.,Energy,2009-11-17,2024-10-25,5456,16.899999618530273,16.809856,16.796824,-0.09014361853027353,-0.10317561853027257,0.9946660579547331,0.9938949336769721,V,HELLp
SCHW,The Charles Schwab Corporation,Financial Services,1987-09-22,2024-10-25,13548,71.81999969482422,66.43487,58.562428,-5.385129694824215,-13.257571694824222,0.9250190793970123,0.815405572944055,V,HELLp
META,"Meta Platforms, Inc.",Communication Services,2012-05-18,2024-10-25,4543,573.25,449.3636,368.92566,-123.88639999999998,-204.32434,0.7838876580898386,0.643568530309638,V,HELLp
NOW,"ServiceNow, Inc.",Technology,2012-06-29,2024-10-25,4501,950.8499755859376,750.48035,619.07806,-200.36962558593757,-331.77191558593756,0.7892731443123141,0.651078588521295,V,HELLp
KEYS,"Keysight Technologies, Inc.",Technology,2014-10-20,2024-10-25,3658,155.97999572753906,157.43173,161.38953,1.451734272460925,5.409534272460945,1.0093071824094466,1.0346809489718807,V,HELLp
BTG,B2Gold Corp.,Basic Materials,2008-06-24,2024-10-25,5967,3.359999895095825,3.3915496,3.3038251,0.031549704904174636,-0.056174795095825125,1.0093897934194056,0.9832813104614031,V,HELLp
VRSN,"VeriSign, Inc.",Technology,1998-01-30,2024-10-25,9765,181.25999450683597,186.1318,187.98833,4.871805493164032,6.728335493164025,1.0268774447799087,1.0371198041325675,V,HELLp
BZ,Kanzhun Limited,Communication Services,2021-06-11,2024-10-25,1232,14.890000343322754,15.627184,16.56276,0.7371836566772458,1.672759656677247,1.0495086393337678,1.1123411429219594,V,HELLp
BABA,Alibaba Group Holding Limited,Consumer Cyclical,2014-09-19,2024-10-25,3689,97.41999816894533,96.639496,93.554924,-0.7805021689453326,-3.865074168945327,0.9919882756762961,0.9603256596018147,V,HELLp
HAL,Halliburton Company,Energy,1972-06-01,2024-10-25,19139,28.25,27.670744,27.34829,-0.5792560000000009,-0.9017100000000013,0.9794953628318583,0.9680810619469026,V,HELLp
RNMBY,Rheinmetall AG,Industrials,2012-11-26,2024-10-25,4351,104.99500274658205,65.35413,49.625202,-39.64087274658205,-55.369800746582044,0.6224499099041884,0.47264346589690887,V,HELLp
KAVL,"Kaival Brands Innovations Group, Inc.",Consumer Defensive,2021-01-08,2024-10-25,1386,1.0130000114440918,7.32124,15.5347595,6.308239988555909,14.521759488555908,7.227285209565928,15.33539913573572,V,HELLp
