Index,Symbol,Name,Market,Sector,FullName
0,Nasdaq Futures,,,,
1,MDB,"MongoDB, Inc.",,Technology,"MongoDB, Inc."
2,CRI,"Carter's, Inc.",,Consumer Cyclical,"Carter's, Inc."
3,IEP,Icahn Enterprises L.P. - Deposi,,Energy,Icahn Enterprises L.P.
4,CPAY,"Corpay, Inc.",,Technology,"Corpay, Inc."
5,ROIV,Roivant Sciences Ltd.,,Healthcare,Roivant Sciences Ltd.
6,GILD,"Gilead Sciences, Inc.",,Healthcare,"Gilead Sciences, Inc."
7,UAA,"Under Armour, Inc.",,Consumer Cyclical,"Under Armour, Inc."
8,ZK,ZEEKR Intelligent Technology Ho,,Consumer Cyclical,ZEEKR Intelligent Technology Holding Limited
9,KEY,KeyCorp,,Financial Services,KeyCorp
10,LI,Li Auto Inc.,,Consumer Cyclical,Li Auto Inc.
11,RNMBY,Rheinmetall AG,,Industrials,Rheinmetall AG
12,CX,"Cemex, S.A.B. de C.V. Sponsored",,Basic Materials,"CEMEX, S.A.B. de C.V."
13,AMCR,Amcor plc,,Consumer Cyclical,Amcor plc
14,BTG,B2Gold Corp,,Basic Materials,B2Gold Corp.
15,CCL,Carnival Corporation,,Consumer Cyclical,Carnival Corporation & plc
16,AAPL,Apple Inc.,,Technology,Apple Inc.
17,FHN,First Horizon Corporation,,Financial Services,First Horizon Corporation
18,TEAM,Atlassian Corporation,,Technology,Atlassian Corporation
19,GSAT,"Globalstar, Inc.",,Communication Services,"Globalstar, Inc."
20,CAVA,"CAVA Group, Inc.",N/A,Consumer Cyclical,"CAVA Group, Inc."
21,WBA,"Walgreens Boots Alliance, Inc.",,Healthcare,"Walgreens Boots Alliance, Inc."
22,PDD,PDD Holdings Inc.,,Consumer Cyclical,PDD Holdings Inc.
23,RIVN,"Rivian Automotive, Inc.",,Consumer Cyclical,"Rivian Automotive, Inc."
24,ZIM,ZIM Integrated Shipping Service,,Industrials,ZIM Integrated Shipping Services Ltd.
25,BILI,Bilibili Inc.,,Communication Services,Bilibili Inc.
